kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,2723058,3027021,交叉渡线 50kg 12号 间距5m（混凝土岔枕）专线（01）7659,交叉渡线 50kg 12号 间距5.0m (混凝土岔枕) 专线（01）7659,组,组,1=使用best_candidate
Material,1010013,1071801,普通水泥 52.5级(高性能混凝土),普通硅酸盐水泥 P·O52.5,kg,kg,1=使用best_candidate
Material,1200027,1083849,干混料（水泥沥青砂浆用）,干混料,t,t,1=使用best_candidate
Material,1240022,1086241,碎石 16以内(高性能混凝土),碎石 ≤16 (圬工用),m3,m3,L列指定电算代号
Material,1260024,1080313,中粗砂(高性能混凝土),中粗砂 (圬工用),m3,m3,L列指定电算代号
Material,2261015,3048841,精调千斤顶（无砟轨道用）,精调千斤顶,个,个,1=使用best_candidate
Material,3390165,3048425,凸台挡台填充树脂灌注袋（Ⅰ型板式无砟轨道专用）,凸形挡台填充树脂灌注袋,个,个,1=使用best_candidate
Machine,9101003,9101003,电动空气压缩机 ≤1m3/min,电动活塞式空气压缩机 ≤1m³/min,台班,台班,1=使用best_candidate
Machine,9101504,9101316,工业燃煤锅炉 ≤6t/h,工业燃油锅炉 ≤6t/h,台班,台班,1=使用best_candidate
Machine,9104020,9104022,混凝土搅拌站 ≤120m3/h,混凝土搅拌站 ≤120m³/h,台班,台班,1=使用best_candidate
Machine,9107653,9114281,轮胎式CA砂浆搅拌运输车 ≤1m3,轮胎式CA砂浆搅拌运输车 ≤1m³,台班,台班,1=使用best_candidate
Material,1010012,1070901,普通水泥 42.5级(高性能混凝土),普通硅酸盐水泥 P·O42.5,kg,kg,1=使用best_candidate
Material,1240023,1086449,碎石 25以内(高性能混凝土),碎石 ≤25 (圬工用),m3,m3,L列指定电算代号
Material,2031062,1015487,锯片（用于切断钢筋）,钢筋切割锯片,对,对,1=使用best_candidate
Material,2811047,3048373,定位锥（无砟轨道用）,定位锥,个,个,1=使用best_candidate
Material,3410010,1040201,土工织物(土工布)200g/m2,土工布 200g/m2,m2,m2,1=使用best_candidate
Material,3440020,1038569,绝缘卡子（用于绑扎钢筋）,绝缘卡子,个,个,1=使用best_candidate
Material,3440021,1054217,尼龙卡扣（用于绑扎钢筋）,尼龙卡扣,个,个,1=使用best_candidate
Machine,9102305,9102306,门式起重机 ≤40t-40m,"门式起重机 ≤40t-40m,h≤12m",台班,台班,1=使用best_candidate
Machine,9103303,9103303,混凝土搅拌输送车 ≤8m3,混凝土搅拌输送车 ≤8m³,台班,台班,1=使用best_candidate
Machine,9104028,9104028,混凝土搅拌站 ≤180m3/h,混凝土搅拌站 ≤180m³/h,台班,台班,1=使用best_candidate
Machine,9104213,9104123,混凝土输送泵车 ≤60m3/h,混凝土输送泵车 ≤60m³/h,台班,台班,1=使用best_candidate
Machine,9105301,9105321,单级离心清水泵 ≤12.5m3/h-20m,单级离心清水泵 ≤12.5m³/h-20m,台班,台班,1=使用best_candidate
Material,1280088,1177345,粘度改性材料,黏度改性材料,kg,kg,1=使用best_candidate
Material,2547220,1010755,网片钢筋Φ12(CRB550),网片钢筋 CRB550 φ12,kg,kg,1=使用best_candidate
Machine,9101502,9101312,工业燃煤锅炉 ≤2t/h,工业燃油锅炉 ≤2t/h,台班,台班,1=使用best_candidate
Material,2031066,3046449,橡胶套靴 605×297×152 普通型,橡胶套靴 普通型,只,只,1=使用best_candidate
Material,2031068,1024313,密封圈132×60×21.5（三元乙丙橡胶）,三元乙丙橡胶密封圈 132×60×21.5,只,只,1=使用best_candidate
Material,2750034,3042237,预埋铁座 普通铁路支承块专用,预埋铁座,个,个,1=使用best_candidate
Material,2031067,3046501,橡胶套靴 SYTX 重载型,橡胶套靴 重载型,只,只,1=使用best_candidate
Material,2750035,3042289,预埋铁座 TZ-5 重载铁路支承块专用,预埋铁座 TZ-5,个,个,1=使用best_candidate
Machine,9100006,9100020,履带式液压单斗挖掘机 ≤2.0m3,履带式液压单斗挖掘机 ≤2.0m³,台班,台班,1=使用best_candidate
Material,1280023,1174489,聚氨酯粘合剂,聚氨酯黏合剂,kg,kg,1=使用best_candidate
Material,1280063,1174557,土工布粘合剂,土工布黏合剂,kg,kg,1=使用best_candidate
Material,1910105,1010339,带肋钢筋(HRB500) Φ18～25,带肋钢筋 HRB500 18≤φ＜28,kg,kg,L列指定电算代号
Material,2713254,1206886,硬质泡沫塑料板 5cm,硬质泡沫塑料板 δ=50,m2,m2,1=使用best_candidate
Material,3410012,1040601,土工织物(土工布)400g/m2,土工布 400g/m2,m2,m2,1=使用best_candidate
Material,3330232,3041821,弹性垫层A δ=8（无砟轨道用）,无砟轨道弹性垫板 δ=8,m2,m2,1=使用best_candidate
Material,1240010,1085929,碎石,碎石 ≤25（填筑用）,m3,m3,L列指定电算代号
Material,3330233,3041821,弹性垫层B δ=12（无砟轨道用）,无砟轨道弹性垫板 δ=8,m2,m2,1=使用best_candidate
Material,3394126,1033690,聚氯乙烯胶带 18×10m×0.13,聚氯乙烯胶带 10m×18×0.13,盘,盘,1=使用best_candidate
Material,2713255,3042861,微孔发泡橡胶垫板（无砟轨道用）,无砟轨道用微孔发泡橡胶垫板,m2,m2,1=使用best_candidate
Material,2700014,3010361,钢轨 24kg,钢轨 ≤50kg,t,t,1=使用best_candidate
Machine,9107521,9116031,电气化安装作业车（液力传动）,电气化安装作业车,台班,台班,1=使用best_candidate
Machine,9109935,9120277,全站仪 5mm+2ppm/＜0.5秒,全站仪 5mm+2×10⁻⁶测距/<0.5″,台班,台班,1=使用best_candidate
Material,3613113,1066651,支柱整正专用螺母 M24～M39,螺母 M24,个,个,1=使用best_candidate
Material,5401827,8063097,定位器电连接线,支撑及定位器等电位电连接,套,件,1=使用best_candidate
Material,5911015,8065169,承力索电联接线夹 C型,承力索电连接线夹 C型,套,件,1=使用best_candidate
Material,2100006,1012107,不锈钢丝绳 T3QSSHR-7×19,不锈钢钢丝绳,kg,kg,1=使用best_candidate
Machine,9107531,9116041,电气化架线作业车（液力传动）,电气化架线作业车,台班,台班,1=使用best_candidate
Machine,9107542,9116111,接触网检测设备 200km/h,接触网检测车载设备,台班,台班,1=使用best_candidate
Material,5911031,8065217,并钩电联接线夹,并钩电连接线夹,套,件,1=使用best_candidate
Material,5911034,8065225,T型电联接线夹,T型电连接线夹,套,件,1=使用best_candidate
Material,5911021,8065177,承力索电联接线夹 CT型,承力索电连接线夹 CT型,套,件,1=使用best_candidate
Material,5913030,8062089,平衡论,平衡轮,套,件,1=使用best_candidate
Machine,9107541,9116101,接触网检测车 200km/h,接触网检测车,台班,台班,1=使用best_candidate
