kind,old_code,new_code,name,source_unit,target_unit
Material,5922021,8068321,弓形腕臂 R＜1800m及缓曲 G1,套,件
Material,5922262,8064521,隧内限位定位器 XG1000,套,件
Material,5400516,8062729,隧内单腕臂上(或下)底座 ZG270-500,套,件
Material,5901153,8066769,平腕臂 L=3400 PWG60×5,套,件
Material,5901151,8066753,平腕臂 L=3100 PWG60×5,套,件
Material,5903460,8064089,定位管 L=2000 L55×6,套,件
Material,5903464,8064121,定位管 L=2500 L55×6,套,件
Material,3603034,8068489,刚性悬挂电连接组件,套,件
Material,5437923,8068409,刚性悬挂旋转头,套,件
Material,5437924,8068417,刚性悬挂旋转头连接板 Q235B,套,件
Material,5437925,8068433,刚性悬挂铰座 Q235B,套,件
Material,5437926,8068441,刚性悬挂底座紧固件 Q235B,套,件
Material,5722059,8039311,刚性悬挂绝缘子 12kN 爬距1400,套,个
Material,5437515,8068425,刚性悬挂膨胀器,套,件
Material,5437927,8068449,刚性悬挂承锚底座 Q235B,套,件
Material,5437928,8068457,刚性悬挂中心锚结连接板,套,件
Material,5437941,8064289,隧道定位管 760 SJL90-90,套,件
Material,5458321,8060281,承锚底座 Y8641,套,件
Material,5906021,8065145,承力索中心锚结线夹 Ⅰ～Ⅴ,套,件
Material,5923001,8061673,重型锚臂 700A、B,套,件
Material,5400538,8064921,定位绳弹性张力补偿器,套,件
Material,5427825,8068553,“注意邻线有电”标志牌 夜间反光,套,件
Material,5511005,8027569,预绞式短护线条 铝包钢125mm2,套,根
Material,5611034,8061313,接地跳线肩架 JL323(G15),套,件
Material,5903134,8063745,定位支座 RL,套,件
Material,5904023,8064425,普通定位器 G3,套,件
Material,5904058,8063809,长定位环 G48,套,件
Material,5904120,8064985,定位环线夹,套,件
Material,5906011,8065073,接触线中心锚结线夹 H、Y1、Y2,套,件
Material,5916141,8061905,耳环杆 L04,套,件
Material,5916161,8060185,混凝土柱软横跨固定底座 L54,套,件
Material,5916162,8060193,混凝土柱软横跨固定底座 L58,套,件
Material,5916180,8065209,带耳定位环线夹,套,件
Material,5916211,8065881,夹环 G型,套,个
Material,5917020,8065961,双耳连接器,套,个
Material,5918010,8065185,横承力索线夹,套,件
Material,5918041,8062553,软横跨悬吊滑轮 T1,套,件
Material,5918042,8062561,软横跨悬吊滑轮 T2,套,件
Material,5916071,8060945,钢柱软横跨固定角钢 L61,套,件
Material,5916072,8060953,钢柱软横跨固定角钢 L73,套,件
Material,5916142,8061913,耳环杆 L06,套,件
Material,5918020,8065193,双横承力索线夹,套,件
Material,5448004,8060289,底座 SXW01-81改,套,件
Material,5400988,8060753,承锚角钢 60 JL51,套,件
Material,5458281,8060745,承锚角钢 Y8638,套,件
Material,5611021,8061649,接地跳线固定板 JL320,套,件
Material,6000050,8065649,楔形拉线线夹 LX-3,套,个
Material,5405117,8062761,中心锚结底座,套,件
Material,5447122,8060161,隧内中心锚结锚固底座,套,件
Material,5401106,8060793,线锚角钢 60 JL52,套,件
Material,5912011,8064673,补偿滑轮组 G1:2,套,件
Material,5912012,8064681,补偿滑轮组 G1:3,套,件
Material,5912023,8061817,D型连接器,套,件
Material,5915012,8062145,坠砣限制架 H170,套,件
Material,5915111,8062297,埋入式限制架底座 A,套,件
Material,5915250,8062065,坠砣杆 T20,套,件
Material,5912013,8064689,补偿滑轮组 G1:4,套,件
Material,5923005,8061689,重型锚臂 900A、B,套,件
Material,5923013,8061721,重型锚臂 1800A、B,套,件
Material,5923030,8062593,隧内下锚拉杆底座,套,件
Material,5923041,8062601,隧内下锚可调拉杆 L800,套,件
Material,5923043,8062617,隧内下锚可调拉杆 L1150,套,件
Material,5923050,8062577,动滑轮,套,件
Material,5923055,8062585,转向定滑轮,套,件
Material,5923061,8062273,隧道内下锚坠砣限制架 406,套,件
Material,6122030,1307623,隧内下锚保护栅栏固定支架,套,件
Material,6122031,1307726,隧内下锚保护栅栏转动支架,套,件
Material,6122032,1307932,隧内下锚保护栅栏栅门(含保险装置),套,件
Material,6122033,1307829,隧内下锚保护栅栏支架,套,件
Material,6122034,1308035,隧内下锚保护铁栅栏,套,件
Material,5410526,8062793,承力索补偿棘轮下锚底座 圆柱,套,件
Material,5410527,8062801,接触线补偿棘轮下锚底座 圆柱,套,件
Material,5913011,8064793,棘轮本体 1∶3,套,件
Material,5915016,8062153,坠砣限制架 Y350,套,件
Material,5447111,8061577,隧内棘轮下锚坠砣杆,套,件
Material,5447123,8061585,隧内下锚坠砣杆保护盖,套,件
Material,5913021,8064801,棘轮支架,套,件
Material,5403811,8062569,接触线放线滑轮（带S钩）,套,件
Material,5907071,8065153,承力索吊弦线夹,套,件
Material,5916221,8065889,夹环 T型,套,个
Material,5907003,8064625,整体吊弦 C,套,件
Material,5437702,8065241,附加线预绞式等距线夹,套,件
Material,5500351,8061097,增高肩架 GDL14(1100A),套,件
Material,6000000,8065521,悬垂线夹 CGU-4,套,个
Material,6000134,8065569,预绞式悬垂线夹,套,个
Material,5415722,8060313,斜拉座 78 JL373,套,件
Material,5920120,8065905,长吊环,套,个
Material,5437561,8061609,开关托架 SJL56,套,件
Material,5511004,8027913,预绞式短护线条 铝包钢315mm2,套,根
Material,5458301,8065937,接头 Y8639,套,个
Material,5511009,8028257,预绞式导线接续条 铝包钢125mm2,套,根
Material,5916052,8061881,杵头杆 L13,套,件
Material,5600103,8060889,对向下锚角钢 470 HL07,套,件
Material,5400702,8065873,焊接杵环 175 JL39-01,套,个
Material,5600182,8061641,隧道吸上线固定压板 HL14,套,件
Material,5920032,8062441,双耳鞍子 L,套,件
Material,5500341,8060297,底座 GDL14-03(B),根,件
Material,6177558,8066153,接地跳线固定板 JL320-89,套,块
Material,5437710,8065257,预绞式耐张线夹 铝包钢200mm2,套,件
Material,5500361,8065913,吊钩 GDL15,套,个
Material,5511008,8028601,预绞式导线接续条 铝包钢315mm2,套,根
Material,5611152,8061289,架空地线肩架 17B JL361,套,件
Material,5611072,8061033,角钢肩架 855 JL325,套,件
Material,5511060,8061193,AP线肩架 170W JL321,套,件
Material,5611155,8061297,架空地线肩架 JL361(17A),套,件
Material,5920012,8062393,杵座鞍子 DL,套,件
Material,5437012,8061465,定位埋入杆 SJL2,件,根
Material,5437131,8060345,定位连接头 SJL14,套,件
Material,5437141,8060353,定位齿座 SJL15,套,件
Material,5437161,8060361,定位套环 SJL17,套,件
Material,5437251,8060377,连接调整板 SJL26,套,件
Material,5437351,8065137,承力索线夹 SJL36(A),套,件
Material,5437716,8060257,PW线支座,套,件
Material,5511002,8061121,AF线肩架 APL01(7.8W),套,件
Material,5511011,8061417,斜撑座 APL02(7.8),套,件
Material,5511003,8061129,AF线肩架 APL01(G15W),套,件
Material,5511012,8061425,斜撑座 APL02(G),套,件
Material,5458214,8061185,AP线肩架 Y8631(YZ),套,件
Material,5511113,8061201,AP线特长肩架 JL335(26),套,件
Material,5511031,8061177,AP线平头肩架 APL04(7.8W),套,件
Material,5511016,8061137,AF线W型肩架 H形钢柱,套,件
Material,5437709,8065249,预绞式耐张线夹 铝包钢125mm2,套,件
Material,5437717,8065273,预绞式耐张线夹 铝包钢315mm2,套,件
Material,5920110,8065897,吊环,套,个
Material,5458241,8061169,PW线肩架 Y8634,套,件
Material,5437714,8060217,PW线对向下锚悬挂底座,套,件
Material,5511041,8061617,跨越抬高装置 APL05,套,件
Material,5458261,8061113,双肩肩架 Y8636,套,件
Material,5611084,8061337,跳线肩架 JL326(B),套,件
Material,5916051,8061873,杵头杆 L06,套,件
Material,5611156,8061305,架空地线肩架 JL361(G15A),套,件
Material,5437715,8060225,PW线悬挂底座,套,件
Material,5437861,8061665,接地弯卡 SJL83(改),套,件
Material,5611133,8060025,GW线支架 JL334(460),套,个
Material,5611134,8060033,GW线支架 JL334(560),套,个
Material,5458271,8060017,GW线支架 Y8637,套,个
Material,5468461,8068681,限界门标志板(反光),块,件
Material,6177222,8068697,驱鸟装置,套,台
Material,5611113,8060337,固定卡子 1.5 JL329,套,件
Material,5468431,8068657,安全作业标(反光),套,件
Material,5468481,8068529,标志牌柱体及连接件,套,件
Material,5468441,8068665,终端警告牌(反光),套,件
Material,5427826,8068561,跨线桥标志牌 夜间反光,套,件
Material,5468411,8068585,断、合标志牌（反光）,套,件
Material,5468421,8068649,禁止双弓牌(反光),套,件
Material,5427823,8068537,“T断”“T合”标志牌 夜间反光,套,件
Material,5427824,8068545,“T禁止双弓”标志牌 夜间反光,套,件
Material,5611081,8061329,跳线肩架 B或B1 JL326,套,件
Material,6144110,8071891,操作机构底座 SJL57-76,套,件
Material,6144111,8071926,操作机构底座 H7.8 GL03-87,套,件
Material,6144211,8073431,底座角钢 GL10(408)-87,套,件
Material,6144012,8071681,开关底座 GL01-87,套,件
Material,6144114,8071331,操作机构托架 78GL,套,件
Material,6144223,8060305,踏脚底座 H78,套,件
Material,6111010,8070211,G150柱开关支架,套,件
Material,6144113,8071296,操作机构托架 GL06(G15)-87,套,件
Material,6122005,8071261,操作机构托架 YD YGL06-87,套,件
Material,6144010,8071611,开关底座 YD YGL03-87,套,件
Material,6144212,8073466,底座角钢 GL10(480)-87,套,件
Material,6144213,8071506,托架角钢 GL11(310)-87,套,件
Material,6144214,8071541,支架角钢 GL09(620)-87,套,件
Material,6144011,8071646,开关底座 YS YGL04-87,套,件
