kind,old_code,new_code,name,unit,base_price
Material,3320126,1009090772,橡胶圈 配聚氯乙烯双壁波纹管 D250,个,13.21
Material,3320128,1009090773,橡胶圈 配聚氯乙烯双壁波纹管 D400,个,24.41
Material,3320129,1009090774,橡胶圈 配聚氯乙烯双壁波纹管 D500,个,30.68
Material,3320130,1009090775,橡胶圈 配聚氯乙烯双壁波纹管 D600,个,38.65
Material,3320131,1009090776,橡胶圈 配聚氯乙烯双壁波纹管 D700,个,45.09
Material,3320132,1009090777,橡胶圈 配聚氯乙烯双壁波纹管 D800,个,51.54
Material,3320133,1009090778,橡胶圈 配聚氯乙烯双壁波纹管 D900,个,57.97
Material,3320134,1009090779,橡胶圈 配聚氯乙烯双壁波纹管 D1000,个,67.64
Material,2368133,1009090780,球墨铸铁雨水箅子及井圈750×450×45,套,232.1
Machine,9105302,2009000107,单级离心清水泵 ≤12.5m3/h-32m,台班,78.65
Material,1800304,1009090781,石棉 手选 特6级,kg,0.61
Material,2300017,1009090782,铸铁承插直管 DN300×5000,m,222.01
Material,2220045,1009090783,焊接钢管  DN400×6.5,m,183.3
Material,2300022,1009090784,铸铁承插直管 DN400×5000,m,339.8
Material,2300012,1009090785,铸铁承插直管 DN100×4000,m,65.9
Material,2220047,1009090786,焊接钢管  DN500×6.5,m,228.7
Material,2300020,1009090787,铸铁承插直管 DN500×5000,m,523.82
Material,2300013,1009090788,铸铁承插直管 DN150×4000,m,96.35
Material,3410011,1009090789,土工织物(土工布)300g/m2,m2,3.53
Material,3613125,1009090790,解藕装置,m,36.68
Material,5322054,1009090791,声屏障H形钢立柱,t,7528.81
Machine,9103306,2009000108,混凝土搅拌输送车 ≤10m3,台班,1133.36
Material,2031133,1009090792,通透单元板 1960×1000×20（桥金属-8323A）,m2,1286.18
Material,3613126,1009090793,橡胶棒（Ф60～100）,m,34.81
Material,3613127,1009090794,橡胶棒（Ф30～40）,m,23.19
Material,1130020,1009090795,复层涂料骨浆（喷涂型）,kg,3.69
Material,1130021,1009090796,水性耐候面漆（半光型）,kg,21.95
Material,2031136,1009090797,复合吸声板 3960×140×500,m2,394.43
Material,2031137,1009090798,复合吸声板 3960×140×450,m2,394.43
Material,2031129,1009090799,金属声屏障单元板 1960×450×140,m2,728.99
Material,2300411,1009090800,柔性接口球墨铸铁承插直管 DN100×5000,m,57.14
Material,2330201,1009090801,球墨铸铁管件,kg,5.27
Material,2300401,1009090802,柔性接口球墨铸铁直管 DN150×5000,m,90.85
Material,2300402,1009090803,柔性接口球墨铸铁直管 DN200×5000,m,122.4
Material,2300403,1009090804,柔性接口球墨铸铁直管 DN250×5000,m,158.43
Material,2300412,1009090805,柔性接口球墨铸铁承插直管 DN300×5000,m,207.2
Material,2300413,1009090806,柔性接口球墨铸铁承插直管 DN350×5000,m,258.99
Material,2300414,1009090807,柔性接口球墨铸铁承插直管 DN400×5000,m,310.79
Material,2300415,1009090808,柔性接口球墨铸铁承插直管 DN450×5000,m,367.93
Material,2300416,1009090809,柔性接口球墨铸铁承插直管 DN500×6000,m,424.68
Material,2300417,1009090810,柔性接口球墨铸铁承插直管 DN600×6000,m,562.17
Material,3372225,1009090811,聚乙烯给水管（PE）1.0MPa de50,m,11.98
Material,3373271,1009090812,聚乙烯给水管件 1.25MPa de50,个,12.8
Material,3372226,1009090813,聚乙烯给水管（PE）1.0MPa de63,m,15.68
Material,3373272,1009090814,聚乙烯给水管件 1.25MPa de63,个,20.57
Material,3372251,1009090815,聚乙烯给水管（PE） 1.0MPa   de110,m,35.65
Material,3373274,1009090816,聚乙烯给水管件 1.25MPa de110,个,56
Material,3372252,1009090817,聚乙烯给水管（PE） 1.0MPa   de160,m,67.66
Material,3373275,1009090818,聚乙烯给水管件 1.25MPa de160,个,130
Material,3372235,1009090819,聚乙烯给水管（PE）1.0MPa de200,m,130.59
Material,3373276,1009090820,聚乙烯给水管件 1.25MPa de200,个,203.22
Material,3372254,1009090821,聚乙烯给水管（PE） 1.0MPa   de250,m,166.64
Material,3373471,1009090822,聚乙烯电熔管件 1.25MPa de250,个,750.44
Material,3372255,1009090823,聚乙烯给水管（PE） 1.0MPa   de315,m,265.4
Material,3373472,1009090824,聚乙烯电熔管件 1.25MPa de315,个,1353.51
Material,3372237,1009090825,聚乙烯给水管（PE）1.0MPa de355,m,419.16
Material,3373473,1009090826,聚乙烯电熔管件 1.25MPa de355,个,1923.56
Material,3372239,1009090827,聚乙烯给水管（PE）1.0MPa de400,m,528.35
Material,3373474,1009090828,聚乙烯电熔管件 1.25MPa de400,个,2438.23
Material,3373012,1009090829,聚氯乙烯给水管接头零件 D25,个,1.38
Material,3373015,1009090830,聚氯乙烯给水管接头零件 D50,个,4.25
Material,3373019,1009090831,聚氯乙烯给水管接头零件 D110,个,13.31
Material,3372510,1009090832,HDPE双壁波纹管 SN8 DN/ID225,m,48.17
Material,3372511,1009090833,HDPE双壁波纹管 SN8 DN/ID300,m,89.33
Material,3372512,1009090834,HDPE双壁波纹管 SN8 DN/ID400,m,139.43
Material,3372513,1009090835,HDPE双壁波纹管 SN8 DN/ID500,m,215.53
Material,3372514,1009090836,HDPE双壁波纹管 SN8 DN/ID600,m,302.03
Material,3372515,1009090837,HDPE双壁波纹管 SN8 DN/ID700,m,408.59
Material,3372516,1009090838,HDPE双壁波纹管 SN8 DN/ID800,m,492.56
Material,3372517,1009090839,HDPE双壁波纹管 SN8 DN/ID900,m,682.22
Material,3372518,1009090840,HDPE双壁波纹管 SN8 DN/ID1000,m,903.21
Material,1820705,1009090841,橡胶石棉盘根 Φ11～25,kg,20.34
Material,3372369,1009090842,聚乙烯给水管（PE）1.6MPa de75,m,43.85
Material,3372371,1009090843,聚乙烯给水管（PE）1.6MPa de160,m,179.14
Material,3373281,1009090844,聚乙烯给水管件 1.6MPa de160,个,185.67
Material,3373506,1009090845,聚乙烯电熔套筒    de63,个,27.72
Material,3373660,1009090846,聚乙烯电熔套筒 1.0MPa   de160,个,124.94
Material,3373710,1009090847,聚乙烯电熔套筒 1.6MPa de75,个,105.64
Material,3373721,1009090848,聚乙烯电熔套筒 1.6MPa de160,个,249.48
Material,3372152,1009090849,聚乙烯给水管（PE）de32,m,4.73
Material,3372229,1009090850,聚乙烯给水管（PE）1.0MPa de90,m,25.98
Material,3373273,1009090851,聚乙烯给水管件 1.25MPa de90,个,38.63
Material,3372373,1009090852,聚乙烯给水管（PE）1.6MPa de225,m,260.57
Material,3373282,1009090853,聚乙烯给水管件 1.6MPa de225,个,280.07
Material,3373725,1009090854,聚乙烯电熔套筒 1.6MPa de250,个,894.96
Material,3372374,1009090855,聚乙烯给水管（PE）1.6MPa de250,m,321.17
Material,3373283,1009090856,聚乙烯给水管件 1.6MPa de250,个,373.2
Material,3373726,1009090857,聚乙烯电熔套筒 1.6MPa dn250,个,946.44
Material,1240030,1009090858,碎石 20以内(高性能混凝土),m3,43.66
Material,1710064,1009090859,氯化聚乙烯防水卷材δ=0.5,㎡,6.18
Material,3005047,1009090860,压浆剂(AGM500),kg,2.57
Material,3310314,1009090861,制孔胶管 d60,m,44.2
Material,3330019,1009090862,橡胶板 500×500×70,m3,31211.39
Material,3378011,1009090863,PVC硬塑泄水管及管盖 Φ150×40,套,33.59
Material,3391025,1009090864,闭孔乳胶海棉 δ=5,kg,25.66
Machine,9101503,2009000109,工业燃煤锅炉 ≤4t/h,台班,1957.04
Machine,9102308,2009000110,门式起重机 ≤80t-36m,台班,891.9
Machine,9104152,2009000111,电动灌浆机 ≤3m3/h,台班,87.66
Machine,9104207,2009000112,混凝土泵 ≤60m3/h,台班,832.73
Machine,9105617,2009000113,单筒慢速卷扬机 ≤100kN,台班,189.84
Material,3310315,1009090865,制孔胶管 d80,m,59.71
Material,3310316,1009090866,制孔胶管 d90,m,67.18
Material,2250001,1009090867,金属波纹管（制孔用）,kg,5.6
Material,3378012,1009090868,PVC硬塑管  Φ100,m,4.37
Machine,9102306,2009000114,门式起重机 ≤50t-40m,台班,626.47
Machine,9107463,2009000115,轮胎式搬梁机≤600t,台班,7159.64
Material,3310216,1009090869,输水胶管 d22,m,5.37
Machine,9104217,2009000116,混凝土输送泵车 ≤85m3/h,台班,1269.15
Machine,9105322,2009000117,多级离心清水泵 ≤32m3/h-125m,台班,110.19
Machine,9107432,2009000118,现浇移动模架造桥机≤900t,台班,5848.26
Machine,9102321,2009000119,斜撑桅杆式起重机 ≤10t,台班,286.59
Material,3330121,1009090870,三元乙丙橡胶板240×15×837,㎡,368.8
Material,2031031,1009090871,不锈钢连接线（2m/套）,套,138.79
Material,2031032,1009090872,不锈钢连接线（0.4m/套）,m,42.24
Material,8113133,1009090873,防护套管 内径28mm,m,37.3
Material,8800065,1009090874,防松螺母M8~10,套,1.03
Material,8800067,1009090875,防松螺母M16,套,2.23
Material,1240024,1009090876,碎石 31.5以内(高性能混凝土),m3,41.72
Material,3391031,1009090877,821BF-E-02橡胶止水带,m,25.12
Material,3220012,1009090878,乳胶炸药,kg,9.45
Machine,9101215,2009000120,电动螺杆空气压缩机 ≤20m3/min,台班,524.16
Material,2260013,1009090879,铁皮通风管 Φ1200,m,288.15
Material,3360031,1009090880,软质通风管 Φ1200,m,50.79
Machine,9100812,2009000121,轴流通风机 ≤150kW-1250m3/min,台班,486.63
Machine,9101605,2009000122,电力变压器 ≤560kVA,台班,18.38
Machine,9101604,2009000123,电力变压器 ≤320kVA,台班,11.81
Material,2260014,1009090881,铁皮通风管 Φ1500,m,317.82
Material,3360201,1009090882,软质通风管 Φ1400,m,50.79
Machine,9100813,2009000124,轴流通风机 ≤220kW-2000m3/min,台班,671.45
Material,3360202,1009090883,软质通风管 Φ1500,m,57.03
Machine,9101606,2009000125,电力变压器 ≤750kVA,台班,23.82
Material,2260017,1009090884,铁皮通风管 Φ1800,m,370.5
Material,3360204,1009090885,软质通风管 Φ1800,m,66.54
Machine,9100815,2009000126,轴流通风机≤270kW-3000m3/min,台班,913.38
Material,3005007,1009090886,"速凝剂(液态,低碱)",t,2143.64
Material,3310014,1009090887,高压胶管 d38,m,80.09
Material,3413050,1009090888,透水软管 Φ50～80,m,6.41
Machine,9101011,2009000127,电动空气压缩机 ≤20m3/min,台班,510.09
Machine,9104151,2009000128,气动灌浆机 ≤3m3/h,台班,77.62
Material,1140005,1009090889,竹钉 Φ5×40,百个,6.17
Material,1900017,1009090890,圆钢筋 16Mn Φ18以上,kg,2.75
Material,2260011,1009090891,铁皮通风管 Φ800,m,169.29
Material,3310215,1009090892,输气胶管 d51 6层,m,22.52
Material,3360027,1009090893,软质通风管 Φ800,m,30.47
Machine,9103311,2009000129,轨道式混凝土搅拌输送车 ≤3m3,台班,165.52
Machine,9103631,2009000130,侧卸式矿车 ≤6m3,台班,37.69
Machine,9100805,2009000131,轴流通风机 ≤75kW-800m3/min,台班,284.74
Machine,9100731,2009000132,轨道式液压立爪装岩机 ≤120m3/h,台班,375.85
Machine,9103313,2009000133,轨道式混凝土搅拌输送车 ≤6m3,台班,243.04
Machine,9103622,2009000134,梭式矿车 ≤14m3,台班,233.96
Machine,9100000,2009000135,履带式液压单斗挖掘机 ≤0.4m3,台班,451.48
Material,3310214,1009090894,输气胶管 d25 5层,m,10.32
Machine,9105310,2009000136,单级离心清水泵 ≤170m3/h-26m,台班,118.92
Material,7517510,1009090895,电缆托架  甲型,套,19.26
Material,1423515,1009090896,混凝土电缆槽道盖板（500×700×100）,块,60.67
Material,3350212,1009090897,聚氯乙烯硬管 D80,kg,6.17
Material,3372210,1009090898,聚乙烯给水管（PE） 0.6MPa   de90,m,14.93
Material,3372211,1009090899,聚乙烯给水管（PE） 0.6MPa   de110,m,24.89
Material,1423501,1009090900,钢筋混凝土槽（带盖板）1000×80×80,个,21.59
Material,1423502,1009090901,钢筋混凝土槽(带盖板) 1000×120×80,个,24.86
Material,1600705,1009090902,玻璃钢电缆槽 ≤200,m,48.24
Material,1600706,1009090903,玻璃钢电缆槽 ≤400,m,101.89
Material,7510011,1009090904,光缆接头盒  ＞60芯,套,776.86
Material,1120002,1009090905,防腐木电杆 Φ140×6000,根,135.38
Material,1120014,1009090906,防腐圆木 Φ150～180×2100,根,73.69
Material,7415210,1009090907,地锚铁柄 Φ16×2100～2400,根,20.97
Material,7415212,1009090908,拉线铁柄 Φ20×450,副,8.92
Machine,9109701,2009000137,电容藕合测试仪 800～1000Hz,台班,35.18
Machine,9109715,2009000138,"低频电缆测试仪 800Hz±2％,0～110dB",台班,48.72
Material,1423506,1009090909,钢筋混凝土接头槽(带盖板) 槽宽250,套,35.75
Material,7611011,1009090910,室内分线盒 NF-1 10对,只,51.28
Material,7611012,1009090911,室内分线盒 NF-1 20对,只,84.47
Material,7611013,1009090912,室内分线盒 NF-1 30对,只,115.64
Material,7611014,1009090913,室内分线盒 NF-1 50对,只,188.05
Material,7611015,1009090914,室内分线盒 NF-1 100对,只,362.03
Material,4715111,1009090915,铜芯塑料线 1芯 0.2mm2(彩色),m,0.49
Material,7413013,1009090916,三沟绝缘子(带铁卡),只,7.23
Material,7415611,1009090917,地线棒 Φ12×100,根,4.08
Material,7610110,1009090918,落地式电缆交接箱 WJD-1 室外300回线,台,3589.58
Material,7710016,1009090919,汇流条槽道 210×120,m,186.36
Material,7710017,1009090920,汇流条槽道 270×120,m,231.05
Material,4715112,1009090921,铜芯塑料线 2芯 0.2mm2(彩色),m,0.8
Material,4716054,1009090922,阻燃铜芯塑料软线 ZR－BVR16mm2,m,8.15
Material,4716055,1009090923,阻燃铜芯塑料软线 ZR－BVR50mm2,m,21.96
Material,2550011,1009090924,钢丝绳轧头 Φ10,个,1.33
Material,7310113,1009090925,射频同轴电缆  LCF78-50J,m,29.09
Material,7310114,1009090926,射频同轴电缆  LCF158-50J,m,74.8
Material,7810229,1009090927,900M漏缆接头,个,428.75
Material,8810106,1009090928,1/2英寸超柔跳线,条,231.52
Machine,9109615,2009000139,天馈线综合测试仪,台班,309.73
Material,7412618,1009090929,900MH漏泄电缆卡具加强型,个,30.87
Material,7412619,1009090930,900MH漏缆洞内防火卡具加强型,个,36.44
Material,4716056,1009090931,阻燃铜芯塑料软线 ZR－BVR10mm2,m,6.04
Material,7413110,1009090932,弯头瓷管(带檐) 10×300,个,3.48
Material,7517717,1009090933,同轴电缆接头SYWV-75-12,个,18.22
Material,8810303,1009090934,不锈钢金属软管Φ50,个,11.58
Material,3360036,1009090935,普利卡包塑金属软管 LV4-17#,m,22.65
Material,4842147,1009090936,铜包钢接地棒  1.5m,根,204.08
Material,7212027,1009090937,市话电缆 HYA 200×2×0.5,m,38.4
